資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20220610,000815,1,0,0,0.00
20220610,000815,2,0,0,0.00
20220610,000815,3,0,0,0.00
20220610,000815,4,0,0,0.00
20220610,000815,5,0,0,0.00
20220610,000815,6,0,0,0.00
20220610,000815,7,0,0,0.00
20220610,000815,8,0,0,0.00
20220610,000815,9,0,0,0.00
20220610,000815,10,0,0,0.00
20220610,000815,11,0,0,0.00
20220610,000815,12,0,0,0.00
20220610,000815,13,0,0,0.00
20220610,000815,14,0,0,0.00
20220610,000815,15,1,692412444,100.00
20220610,000815,16,0,0,0.00
20220610,000815,17,1,692412444,100.00
20220610,0050,1,311174,81019042,4.30
20220610,0050,2,197455,384658032,20.42
20220610,0050,3,21508,159279304,8.45
20220610,0050,4,5965,74961074,3.98
20220610,0050,5,2831,50775844,2.69
20220610,0050,6,2406,59935757,3.18
20220610,0050,7,926,32638427,1.73
20220610,0050,8,508,23261011,1.23
20220610,0050,9,772,53263387,2.82
20220610,0050,10,238,32104600,1.70
20220610,0050,11,82,23005583,1.22
20220610,0050,12,35,16863221,0.89
20220610,0050,13,14,10124490,0.53
20220610,0050,14,12,10649000,0.56
20220610,0050,15,75,870461228,46.22
20220610,0050,16,0,0,0.00
20220610,0050,17,544001,1883000000,100.00
20220610,0051,1,2497,580665,4.14
20220610,0051,2,2878,5133621,36.66
20220610,0051,3,221,1680800,12.00
20220610,0051,4,50,617682,4.41
20220610,0051,5,36,672175,4.80
20220610,0051,6,20,507527,3.62
20220610,0051,7,10,343979,2.45
20220610,0051,8,5,226000,1.61
20220610,0051,9,13,913009,6.52
20220610,0051,10,6,782000,5.58
20220610,0051,11,2,628542,4.48
20220610,0051,12,1,478000,3.41
20220610,0051,13,2,1436000,10.25
20220610,0051,14,0,0,0.00
20220610,0051,15,0,0,0.00
20220610,0051,16,0,0,0.00
20220610,0051,17,5741,14000000,100.00
20220610,0052,1,11040,2758874,4.92
20220610,0052,2,8991,15671814,27.98
20220610,0052,3,608,4677246,8.35
20220610,0052,4,134,1692282,3.02
20220610,0052,5,64,1156053,2.06
20220610,0052,6,39,968638,1.72
20220610,0052,7,14,487159,0.86
20220610,0052,8,10,464000,0.82
20220610,0052,9,16,1204878,2.15
20220610,0052,10,3,412000,0.73
