資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20231208,000218,1,0,0,0.00
20231208,000218,2,0,0,0.00
20231208,000218,3,0,0,0.00
20231208,000218,4,0,0,0.00
20231208,000218,5,0,0,0.00
20231208,000218,6,0,0,0.00
20231208,000218,7,0,0,0.00
20231208,000218,8,0,0,0.00
20231208,000218,9,0,0,0.00
20231208,000218,10,0,0,0.00
20231208,000218,11,0,0,0.00
20231208,000218,12,0,0,0.00
20231208,000218,13,0,0,0.00
20231208,000218,14,0,0,0.00
20231208,000218,15,1,422278902,100.00
20231208,000218,16,0,0,0.00
20231208,000218,17,1,422278902,100.00
20231208,000815,1,0,0,0.00
20231208,000815,2,0,0,0.00
20231208,000815,3,0,0,0.00
20231208,000815,4,0,0,0.00
20231208,000815,5,0,0,0.00
20231208,000815,6,0,0,0.00
20231208,000815,7,0,0,0.00
20231208,000815,8,0,0,0.00
20231208,000815,9,0,0,0.00
20231208,000815,10,0,0,0.00
20231208,000815,11,0,0,0.00
20231208,000815,12,0,0,0.00
20231208,000815,13,0,0,0.00
20231208,000815,14,0,0,0.00
20231208,000815,15,1,692412444,100.00
20231208,000815,16,0,0,0.00
20231208,000815,17,1,692412444,100.00
20231208,0050,1,366639,106151733,4.63
20231208,0050,2,251234,507515363,22.16
20231208,0050,3,32168,234618459,10.24
20231208,0050,4,9291,115773285,5.05
20231208,0050,5,4378,77686803,3.39
20231208,0050,6,3669,91035182,3.97
20231208,0050,7,1554,54346425,2.37
20231208,0050,8,749,34121319,1.49
20231208,0050,9,1164,79510196,3.47
20231208,0050,10,357,47630345,2.08
20231208,0050,11,104,29295050,1.27
20231208,0050,12,32,15955417,0.69
20231208,0050,13,15,10899194,0.47
20231208,0050,14,11,9838898,0.42
20231208,0050,15,82,875122331,38.22
20231208,0050,16,0,0,0.00
20231208,0050,17,671447,2289500000,100.00
20231208,0051,1,3240,788656,4.50
20231208,0051,2,3495,6586937,37.63
20231208,0051,3,310,2348914,13.42
20231208,0051,4,105,1320500,7.54
20231208,0051,5,46,850443,4.85
20231208,0051,6,32,807000,4.61
20231208,0051,7,15,506636,2.89
20231208,0051,8,8,355534,2.03
20231208,0051,9,11,758636,4.33
20231208,0051,10,4,506523,2.89
20231208,0051,11,1,201000,1.14
20231208,0051,12,2,928221,5.30
20231208,0051,13,2,1541000,8.80
20231208,0051,14,0,0,0.00
20231208,0051,15,0,0,0.00
20231208,0051,16,0,0,0.00
20231208,0051,17,7271,17500000,100.00
20231208,0052,1,9246,2514482,5.84
20231208,0052,2,6359,11890316,27.65
20231208,0052,3,528,3944508,9.17
20231208,0052,4,115,1419186,3.30
20231208,0052,5,48,857940,1.99
20231208,0052,6,42,1045760,2.43
20231208,0052,7,11,420525,0.97
20231208,0052,8,5,227567,0.52
20231208,0052,9,19,1346217,3.13
20231208,0052,10,3,410000,0.95
20231208,0052,11,8,2340000,5.44
20231208,0052,12,5,2412236,5.60
20231208,0052,13,0,0,0.00
20231208,0052,14,2,1641391,3.81
20231208,0052,15,6,12529872,29.13
20231208,0052,16,0,0,0.00
20231208,0052,17,16397,43000000,100.00
20231208,0053,1,417,67592,1.35
20231208,0053,2,667,1274870,25.55
20231208,0053,3,73,599799,12.02
20231208,0053,4,13,171000,3.42
20231208,0053,5,15,286000,5.73
20231208,0053,6,2,55000,1.10
20231208,0053,7,1,40000,0.80
20231208,0053,8,3,145000,2.90
20231208,0053,9,3,204000,4.08
20231208,0053,10,3,444208,8.90
20231208,0053,11,2,576531,11.55
20231208,0053,12,0,0,0.00
20231208,0053,13,0,0,0.00
20231208,0053,14,0,0,0.00
20231208,0053,15,1,1124000,22.53
20231208,0053,16,0,0,0.00
20231208,0053,17,1200,4988000,100.00
20231208,0055,1,3317,1050340,1.44
20231208,0055,2,8598,18067723,24.86
20231208,0055,3,1342,10490718,14.43
20231208,0055,4,361,4636134,6.38
20231208,0055,5,211,3891300,5.35
20231208,0055,6,170,4321008,5.94
20231208,0055,7,76,2753100,3.78
20231208,0055,8,36,1728198,2.37
20231208,0055,9,68,4901960,6.74
20231208,0055,10,22,2852860,3.92
20231208,0055,11,10,3042550,4.18
20231208,0055,12,3,1400000,1.92
20231208,0055,13,1,630000,0.86
20231208,0055,14,2,1749109,2.40
20231208,0055,15,6,11139000,15.33
20231208,0055,16,0,0,0.00
20231208,0055,17,14223,72654000,100.00
20231208,0056,1,205726,68162586,0.98
20231208,0056,2,531746,1210870013,17.47
20231208,0056,3,125007,963484178,13.90
20231208,0056,4,44815,567362547,8.18
20231208,0056,5,26212,476249329,6.87
20231208,0056,6,22931,580360598,8.37
20231208,0056,7,10565,374894051,5.41
20231208,0056,8,6546,302584414,4.36
20231208,0056,9,10411,730194358,10.53
20231208,0056,10,3536,485626292,7.00
20231208,0056,11,973,263740341,3.80
20231208,0056,12,190,92571019,1.33
20231208,0056,13,61,42532056,0.61
20231208,0056,14,27,24081015,0.34
20231208,0056,15,95,746821203,10.77
20231208,0056,16,0,0,0.00
20231208,0056,17,988841,6929534000,100.00
20231208,0057,1,139,16197,1.06
20231208,0057,2,77,116852,7.65
20231208,0057,3,9,75614,4.95
20231208,0057,4,3,38000,2.48
20231208,0057,5,1,16000,1.04
20231208,0057,6,4,106000,6.94
20231208,0057,7,1,32000,2.09
20231208,0057,8,0,0,0.00
20231208,0057,9,2,175000,11.46
20231208,0057,10,2,253000,16.56
20231208,0057,11,1,247000,16.17
20231208,0057,12,1,451337,29.55
20231208,0057,13,0,0,0.00
20231208,0057,14,0,0,0.00
20231208,0057,15,0,0,0.00
20231208,0057,16,0,0,0.00
20231208,0057,17,240,1527000,100.00
20231208,0061,1,528,139070,0.10
20231208,0061,2,4465,10423310,8.04
20231208,0061,3,1124,9374260,7.23
20231208,0061,4,380,4970593,3.83
20231208,0061,5,292,5492098,4.23
20231208,0061,6,287,7508353,5.79
20231208,0061,7,148,5459209,4.21
20231208,0061,8,97,4611096,3.55
20231208,0061,9,220,16077846,12.40
20231208,0061,10,89,12096280,9.33
20231208,0061,11,39,10999893,8.48
20231208,0061,12,11,5396000,4.16
20231208,0061,13,6,4010000,3.09
20231208,0061,14,4,3646000,2.81
20231208,0061,15,7,29411992,22.69
20231208,0061,16,0,0,0.00
20231208,0061,17,7697,129616000,100.00
20231208,006201,1,340,61628,0.34
20231208,006201,2,1146,2425791,13.51
20231208,006201,3,188,1501559,8.36
20231208,006201,4,54,707415,3.94
20231208,006201,5,33,614488,3.42
20231208,006201,6,32,824338,4.59
20231208,006201,7,11,383550,2.13
20231208,006201,8,3,144000,0.80
20231208,006201,9,7,546728,3.04
20231208,006201,10,1,150000,0.83
20231208,006201,11,3,771503,4.29
20231208,006201,12,1,438000,2.44
20231208,006201,13,0,0,0.00
20231208,006201,14,2,1670000,9.30
20231208,006201,15,1,7707000,42.94
20231208,006201,16,0,0,0.00
20231208,006201,17,1822,17946000,100.00
20231208,006203,1,452,96466,0.94
20231208,006203,2,361,617469,6.04
20231208,006203,3,29,214814,2.10
20231208,006203,4,7,90717,0.88
20231208,006203,5,7,125534,1.22
20231208,006203,6,1,25000,0.24
20231208,006203,7,2,68000,0.66
20231208,006203,8,0,0,0.00
20231208,006203,9,1,58000,0.56
20231208,006203,10,2,233000,2.28
20231208,006203,11,3,985000,9.63
20231208,006203,12,1,500000,4.89
20231208,006203,13,0,0,0.00
20231208,006203,14,1,1000000,9.78
20231208,006203,15,1,6204000,60.71
20231208,006203,16,0,0,0.00
20231208,006203,17,868,10218000,100.00
20231208,006204,1,885,145775,9.71
20231208,006204,2,370,615830,41.05
20231208,006204,3,21,155867,10.39
20231208,006204,4,2,28000,1.86
20231208,006204,5,2,36000,2.40
20231208,006204,6,1,30000,2.00
20231208,006204,7,0,0,0.00
20231208,006204,8,0,0,0.00
20231208,006204,9,2,161000,10.73
20231208,006204,10,2,327528,21.83
20231208,006204,11,0,0,0.00
20231208,006204,12,0,0,0.00
20231208,006204,13,0,0,0.00
20231208,006204,14,0,0,0.00
20231208,006204,15,0,0,0.00
20231208,006204,16,0,0,0.00
20231208,006204,17,1285,1500000,100.00
20231208,006205,1,3705,1336471,0.72
20231208,006205,2,6947,16218785,8.79
20231208,006205,3,1744,12930226,7.01
20231208,006205,4,602,7566151,4.10
20231208,006205,5,325,5934008,3.21
20231208,006205,6,316,8066067,4.37
