資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20230915,000815,1,0,0,0.00
20230915,000815,2,0,0,0.00
20230915,000815,3,0,0,0.00
20230915,000815,4,0,0,0.00
20230915,000815,5,0,0,0.00
20230915,000815,6,0,0,0.00
20230915,000815,7,0,0,0.00
20230915,000815,8,0,0,0.00
20230915,000815,9,0,0,0.00
20230915,000815,10,0,0,0.00
20230915,000815,11,0,0,0.00
20230915,000815,12,0,0,0.00
20230915,000815,13,0,0,0.00
20230915,000815,14,0,0,0.00
20230915,000815,15,1,692412444,100.00
20230915,000815,16,0,0,0.00
20230915,000815,17,1,692412444,100.00
20230915,0050,1,368850,105445508,4.31
20230915,0050,2,255461,514045594,21.05
20230915,0050,3,32585,238047723,9.74
20230915,0050,4,9356,116932910,4.78
20230915,0050,5,4388,78040525,3.19
20230915,0050,6,3805,94264394,3.86
20230915,0050,7,1534,53707488,2.19
20230915,0050,8,780,35498284,1.45
20230915,0050,9,1201,82101299,3.36
20230915,0050,10,365,48739358,1.99
20230915,0050,11,105,29672243,1.21
20230915,0050,12,27,13626110,0.55
20230915,0050,13,14,9963897,0.40
20230915,0050,14,12,11187000,0.45
20230915,0050,15,81,1010727667,41.38
20230915,0050,16,0,0,0.00
20230915,0050,17,678564,2442000000,100.00
20230915,0051,1,3177,751159,4.55
20230915,0051,2,3244,6004473,36.39
20230915,0051,3,283,2170203,13.15
20230915,0051,4,85,1053178,6.38
20230915,0051,5,46,846009,5.12
20230915,0051,6,29,725609,4.39
20230915,0051,7,13,441000,2.67
20230915,0051,8,6,273694,1.65
20230915,0051,9,10,686000,4.15
20230915,0051,10,7,849636,5.14
20230915,0051,11,1,292691,1.77
20230915,0051,12,2,898348,5.44
20230915,0051,13,2,1508000,9.13
20230915,0051,14,0,0,0.00
20230915,0051,15,0,0,0.00
20230915,0051,16,0,0,0.00
20230915,0051,17,6905,16500000,100.00
20230915,0052,1,9784,2594053,5.96
20230915,0052,2,6993,12869182,29.58
20230915,0052,3,562,4227580,9.71
20230915,0052,4,105,1299805,2.98
20230915,0052,5,51,904200,2.07
20230915,0052,6,44,1098305,2.52
20230915,0052,7,12,438000,1.00
20230915,0052,8,7,316307,0.72
20230915,0052,9,12,911217,2.09
20230915,0052,10,4,550000,1.26
20230915,0052,11,6,1598000,3.67
20230915,0052,12,6,2956485,6.79
20230915,0052,13,0,0,0.00
20230915,0052,14,4,3641866,8.37
20230915,0052,15,4,10095000,23.20
20230915,0052,16,0,0,0.00
20230915,0052,17,17594,43500000,100.00
20230915,0053,1,421,67285,1.34
20230915,0053,2,668,1267958,25.42
20230915,0053,3,76,635069,12.73
20230915,0053,4,13,171000,3.42
20230915,0053,5,15,286000,5.73
20230915,0053,6,3,79000,1.58
20230915,0053,7,1,40000,0.80
20230915,0053,8,3,145000,2.90
20230915,0053,9,3,190000,3.80
20230915,0053,10,3,428208,8.58
20230915,0053,11,2,537480,10.77
20230915,0053,12,0,0,0.00
20230915,0053,13,0,0,0.00
20230915,0053,14,0,0,0.00
20230915,0053,15,1,1141000,22.87
20230915,0053,16,0,0,0.00
20230915,0053,17,1209,4988000,100.00
20230915,0055,1,3498,1118328,1.50
20230915,0055,2,8865,18519645,24.97
20230915,0055,3,1383,10844641,14.62
20230915,0055,4,374,4803472,6.47
20230915,0055,5,228,4204979,5.67
20230915,0055,6,176,4514724,6.08
20230915,0055,7,71,2596387,3.50
20230915,0055,8,39,1880000,2.53
20230915,0055,9,72,5127143,6.91
20230915,0055,10,21,2754008,3.71
20230915,0055,11,11,3291550,4.43
20230915,0055,12,3,1400000,1.88
20230915,0055,13,2,1287000,1.73
20230915,0055,14,1,873123,1.17
20230915,0055,15,6,10939000,14.75
20230915,0055,16,0,0,0.00
20230915,0055,17,14750,74154000,100.00
20230915,0056,1,194902,62975011,1.01
20230915,0056,2,495955,1123783159,18.07
20230915,0056,3,113258,872584245,14.03
20230915,0056,4,39291,497435195,8.00
20230915,0056,5,23027,419337475,6.74
20230915,0056,6,20312,514215277,8.27
20230915,0056,7,9497,337513385,5.42
20230915,0056,8,5803,268202250,4.31
20230915,0056,9,9103,639786109,10.29
20230915,0056,10,3162,433939745,6.97
20230915,0056,11,873,236679842,3.80
20230915,0056,12,173,84797280,1.36
20230915,0056,13,54,38755742,0.62
20230915,0056,14,22,19720597,0.31
20230915,0056,15,81,667308688,10.73
20230915,0056,16,0,0,0.00
20230915,0056,17,915513,6217034000,100.00
20230915,0057,1,140,14000,0.91
20230915,0057,2,81,119911,7.85
20230915,0057,3,9,72439,4.74
20230915,0057,4,5,67000,4.38
20230915,0057,5,1,16000,1.04
20230915,0057,6,1,30000,1.96
20230915,0057,7,2,67000,4.38
20230915,0057,8,0,0,0.00
20230915,0057,9,1,80000,5.23
20230915,0057,10,3,374000,24.49
20230915,0057,11,1,253000,16.56
20230915,0057,12,1,433650,28.39
20230915,0057,13,0,0,0.00
20230915,0057,14,0,0,0.00
20230915,0057,15,0,0,0.00
20230915,0057,16,0,0,0.00
20230915,0057,17,245,1527000,100.00
20230915,0061,1,524,137340,0.10
20230915,0061,2,4512,10517466,8.14
20230915,0061,3,1102,9209150,7.13
20230915,0061,4,372,4815546,3.72
20230915,0061,5,294,5541478,4.29
20230915,0061,6,290,7552557,5.84
20230915,0061,7,141,5214068,4.03
20230915,0061,8,107,5089602,3.94
20230915,0061,9,207,15188805,11.76
20230915,0061,10,80,11149192,8.63
20230915,0061,11,39,10888893,8.43
20230915,0061,12,11,5399000,4.18
20230915,0061,13,8,5519000,4.27
20230915,0061,14,2,1830000,1.41
20230915,0061,15,8,31063903,24.05
20230915,0061,16,0,0,0.00
20230915,0061,17,7697,129116000,100.00
20230915,006201,1,343,65128,0.35
20230915,006201,2,1192,2533045,13.73
20230915,006201,3,192,1544763,8.37
20230915,006201,4,59,766724,4.15
20230915,006201,5,34,630488,3.41
20230915,006201,6,30,757318,4.10
20230915,006201,7,10,346271,1.87
20230915,006201,8,6,279000,1.51
20230915,006201,9,9,656728,3.56
20230915,006201,10,1,150000,0.81
20230915,006201,11,2,510000,2.76
20230915,006201,12,1,416000,2.25
20230915,006201,13,1,632535,3.42
20230915,006201,14,2,1638000,8.87
20230915,006201,15,1,7520000,40.76
20230915,006201,16,0,0,0.00
20230915,006201,17,1883,18446000,100.00
20230915,006203,1,472,96766,0.79
20230915,006203,2,379,658084,5.38
20230915,006203,3,28,211979,1.73
20230915,006203,4,6,76689,0.62
20230915,006203,5,6,107482,0.87
20230915,006203,6,1,25000,0.20
20230915,006203,7,2,68000,0.55
20230915,006203,8,0,0,0.00
20230915,006203,9,1,64000,0.52
20230915,006203,10,2,250000,2.04
20230915,006203,11,2,660000,5.40
20230915,006203,12,1,500000,4.09
20230915,006203,13,0,0,0.00
20230915,006203,14,0,0,0.00
20230915,006203,15,3,9500000,77.75
20230915,006203,16,0,0,0.00
20230915,006203,17,903,12218000,100.00
20230915,006204,1,838,137715,9.18
20230915,006204,2,331,543937,36.26
20230915,006204,3,16,121410,8.09
20230915,006204,4,2,30000,2.00
20230915,006204,5,1,20000,1.33
20230915,006204,6,1,30000,2.00
20230915,006204,7,0,0,0.00
20230915,006204,8,0,0,0.00
20230915,006204,9,1,74000,4.93
20230915,006204,10,2,293938,19.59
20230915,006204,11,1,249000,16.60
20230915,006204,12,0,0,0.00
20230915,006204,13,0,0,0.00
20230915,006204,14,0,0,0.00
20230915,006204,15,0,0,0.00
20230915,006204,16,0,0,0.00
20230915,006204,17,1193,1500000,100.00
20230915,006205,1,3858,1401551,0.76
20230915,006205,2,6764,15685165,8.52
20230915,006205,3,1653,12264875,6.66
20230915,006205,4,556,6945113,3.77
20230915,006205,5,317,5778385,3.14
20230915,006205,6,279,7154817,3.89
20230915,006205,7,137,4880952,2.65
20230915,006205,8,69,3241201,1.76
20230915,006205,9,148,10800806,5.87
20230915,006205,10,67,9504400,5.16
20230915,006205,11,15,4499410,2.44
20230915,006205,12,6,2858000,1.55
20230915,006205,13,4,2759000,1.50
20230915,006205,14,1,884000,0.48
20230915,006205,15,20,95251325,51.79
20230915,006205,16,0,0,0.00
20230915,006205,17,13894,183909000,100.00
20230915,006206,1,912,283137,0.53
20230915,006206,2,2368,5563425,10.44
20230915,006206,3,565,4445934,8.34
20230915,006206,4,195,2493210,4.67
20230915,006206,5,115,2128394,3.99
20230915,006206,6,116,2996408,5.62
20230915,006206,7,46,1659263,3.11
20230915,006206,8,39,1848108,3.46
20230915,006206,9,63,4705537,8.83
20230915,006206,10,23,3400439,6.38
20230915,006206,11,7,2261000,4.24
20230915,006206,12,4,2095145,3.93
20230915,006206,13,0,0,0.00
20230915,006206,14,0,0,0.00
20230915,006206,15,2,19398000,36.40
20230915,006206,16,0,0,0.00
20230915,006206,17,4455,53278000,100.00
20230915,006207,1,169,34312,0.10
20230915,006207,2,1073,2516404,7.42
20230915,006207,3,283,2314925,6.83
20230915,006207,4,92,1171024,3.45
20230915,006207,5,99,1841330,5.43
20230915,006207,6,70,1824608,5.38
20230915,006207,7,37,1309659,3.86
20230915,006207,8,33,1541500,4.54
20230915,006207,9,60,4517002,13.32
20230915,006207,10,32,4631000,13.66
20230915,006207,11,18,5405499,15.94
20230915,006207,12,5,2585876,7.62
20230915,006207,13,0,0,0.00
20230915,006207,14,0,0,0.00
20230915,006207,15,3,4198861,12.38
20230915,006207,16,0,0,0.00
20230915,006207,17,1974,33892000,100.00
20230915,006208,1,131442,43649123,5.35
20230915,006208,2,122975,260856935,31.98
20230915,006208,3,20032,144469429,17.71
20230915,006208,4,6683,82756313,10.14
20230915,006208,5,2893,50787659,6.22
20230915,006208,6,2300,56325227,6.90
20230915,006208,7,904,31392812,3.84
20230915,006208,8,453,20384936,2.49
20230915,006208,9,620,41430473,5.08
20230915,006208,10,159,20756365,2.54
20230915,006208,11,30,8379807,1.02
20230915,006208,12,6,2791675,0.34
20230915,006208,13,4,2697000,0.33
20230915,006208,14,3,2580288,0.31
20230915,006208,15,17,46281958,5.67
20230915,006208,16,0,0,0.00
20230915,006208,17,288521,815540000,100.00
20230915,00625K,1,0,0,0.00
20230915,00625K,2,5,12000,3.30
20230915,00625K,3,1,10000,2.75
20230915,00625K,4,1,12000,3.30
20230915,00625K,5,3,53000,14.60
20230915,00625K,6,1,23000,6.33
20230915,00625K,7,1,40000,11.01
20230915,00625K,8,0,0,0.00
20230915,00625K,9,3,213000,58.67
20230915,00625K,10,0,0,0.00
20230915,00625K,11,0,0,0.00
20230915,00625K,12,0,0,0.00
20230915,00625K,13,0,0,0.00
20230915,00625K,14,0,0,0.00
20230915,00625K,15,0,0,0.00
20230915,00625K,16,0,0,0.00
20230915,00625K,17,15,363000,100.00
20230915,00631L,1,6498,1783862,2.28
20230915,00631L,2,5905,12987230,16.63
20230915,00631L,3,1201,8994635,11.51
20230915,00631L,4,434,5480562,7.01
20230915,00631L,5,236,4237014,5.42
20230915,00631L,6,227,5629291,7.20
20230915,00631L,7,114,4049894,5.18
20230915,00631L,8,44,2020144,2.58
20230915,00631L,9,111,8114948,10.39
20230915,00631L,10,31,4147041,5.31
20230915,00631L,11,19,5138450,6.58
20230915,00631L,12,6,2793627,3.57
20230915,00631L,13,2,1453000,1.86
20230915,00631L,14,0,0,0.00
20230915,00631L,15,5,11282302,14.44
20230915,00631L,16,1,28000,0.03
20230915,00631L,17,14833,78084000,100.00
20230915,00632R,1,567,123184,0.00
20230915,00632R,2,13278,37199058,0.46
20230915,00632R,3,7854,67318829,0.83
20230915,00632R,4,3566,47479579,0.58
20230915,00632R,5,4135,78546794,0.97
20230915,00632R,6,4418,117745393,1.46
20230915,00632R,7,2937,108466063,1.34
20230915,00632R,8,2526,120325532,1.49
20230915,00632R,9,6659,508046095,6.30
20230915,00632R,10,4540,677226075,8.40
20230915,00632R,11,3053,889395310,11.03
20230915,00632R,12,1147,578436000,7.17
20230915,00632R,13,496,351261000,4.35
20230915,00632R,14,333,305170000,3.78
20230915,00632R,15,940,4172910088,51.77
20230915,00632R,16,0,0,0.00
20230915,00632R,17,56449,8059649000,100.00
20230915,00633L,1,200,30586,0.01
20230915,00633L,2,3301,8223124,2.98
20230915,00633L,3,1228,10011212,3.63
20230915,00633L,4,546,7163155,2.60
20230915,00633L,5,461,8551633,3.10
20230915,00633L,6,493,12829371,4.65
20230915,00633L,7,299,10897026,3.95
20230915,00633L,8,238,11092065,4.02
20230915,00633L,9,459,33778852,12.26
20230915,00633L,10,231,32639000,11.84
20230915,00633L,11,95,26696000,9.69
20230915,00633L,12,25,12078000,4.38
20230915,00633L,13,13,9276836,3.36
20230915,00633L,14,14,12807000,4.64
20230915,00633L,15,30,79384140,28.81
20230915,00633L,16,0,0,0.00
20230915,00633L,17,7633,275458000,100.00
20230915,00634R,1,42,4314,0.00
20230915,00634R,2,483,1249716,1.96
20230915,00634R,3,176,1506000,2.36
20230915,00634R,4,68,894001,1.40
20230915,00634R,5,54,1014000,1.59
20230915,00634R,6,88,2361000,3.70
20230915,00634R,7,49,1753807,2.75
20230915,00634R,8,40,1879000,2.94
20230915,00634R,9,73,5195000,8.14
20230915,00634R,10,46,6667880,10.45
20230915,00634R,11,29,8338000,13.07
20230915,00634R,12,6,3021000,4.73
20230915,00634R,13,5,3435762,5.38
20230915,00634R,14,4,3855000,6.04
20230915,00634R,15,11,22581520,35.41
20230915,00634R,16,0,0,0.00
20230915,00634R,17,1174,63756000,100.00
20230915,00635U,1,1065,247390,0.60
20230915,00635U,2,3036,6320679,15.41
20230915,00635U,3,482,3834549,9.34
20230915,00635U,4,170,2217545,5.40
20230915,00635U,5,112,2072807,5.05
20230915,00635U,6,88,2198209,5.35
20230915,00635U,7,44,1602674,3.90
20230915,00635U,8,32,1510652,3.68
20230915,00635U,9,59,4150762,10.12
20230915,00635U,10,21,3121000,7.60
20230915,00635U,11,8,2235000,5.44
20230915,00635U,12,2,1130000,2.75
20230915,00635U,13,3,2078665,5.06
20230915,00635U,14,3,2771000,6.75
20230915,00635U,15,4,5523068,13.46
20230915,00635U,16,0,0,0.00
20230915,00635U,17,5129,41014000,100.00
20230915,00636,1,1391,444746,0.19
20230915,00636,2,6216,14918580,6.59
20230915,00636,3,1817,14623657,6.46
20230915,00636,4,676,8711113,3.84
20230915,00636,5,448,8309689,3.67
20230915,00636,6,416,10680131,4.71
20230915,00636,7,190,6903307,3.05
20230915,00636,8,131,6198963,2.73
20230915,00636,9,238,17553470,7.75
20230915,00636,10,93,12857769,5.68
20230915,00636,11,41,12525184,5.53
20230915,00636,12,14,6874000,3.03
20230915,00636,13,4,2734939,1.20
20230915,00636,14,4,3684000,1.62
20230915,00636,15,12,99305452,43.87
20230915,00636,16,0,0,0.00
20230915,00636,17,11691,226325000,100.00
20230915,00636K,1,4,1900,3.05
20230915,00636K,2,4,8000,12.88
20230915,00636K,3,1,7700,12.39
20230915,00636K,4,0,0,0.00
20230915,00636K,5,0,0,0.00
20230915,00636K,6,0,0,0.00
20230915,00636K,7,0,0,0.00
20230915,00636K,8,1,44500,71.65
20230915,00636K,9,0,0,0.00
20230915,00636K,10,0,0,0.00
20230915,00636K,11,0,0,0.00
20230915,00636K,12,0,0,0.00
20230915,00636K,13,0,0,0.00
20230915,00636K,14,0,0,0.00
20230915,00636K,15,0,0,0.00
20230915,00636K,16,0,0,0.00
20230915,00636K,17,10,62100,100.00
20230915,00637L,1,455,108518,0.00
20230915,00637L,2,8633,23787635,1.42
20230915,00637L,3,4203,35197961,2.10
20230915,00637L,4,1962,25885644,1.54
20230915,00637L,5,1778,33402431,1.99
20230915,00637L,6,1953,51179775,3.05
20230915,00637L,7,1176,42717582,2.55
20230915,00637L,8,862,40500453,2.41
20230915,00637L,9,2123,155400110,9.28
20230915,00637L,10,1198,172672867,10.31
20230915,00637L,11,651,185231496,11.06
20230915,00637L,12,210,104505583,6.24
20230915,00637L,13,92,64603000,3.86
20230915,00637L,14,71,64174000,3.83
20230915,00637L,15,169,674238945,40.28
20230915,00637L,16,0,0,0.00
20230915,00637L,17,25536,1673606000,100.00
20230915,00638R,1,29,2662,0.00
20230915,00638R,2,310,765806,1.91
20230915,00638R,3,109,964801,2.41
20230915,00638R,4,41,551914,1.38
20230915,00638R,5,49,920294,2.30
20230915,00638R,6,51,1369501,3.42
20230915,00638R,7,27,977000,2.44
20230915,00638R,8,24,1136000,2.84
20230915,00638R,9,27,1998000,5.00
20230915,00638R,10,23,3564648,8.92
20230915,00638R,11,6,1911000,4.78
20230915,00638R,12,6,3037000,7.60
20230915,00638R,13,1,700000,1.75
20230915,00638R,14,2,1795000,4.49
20230915,00638R,15,3,20254374,50.70
20230915,00638R,16,0,0,0.00
20230915,00638R,17,708,39948000,100.00
20230915,00639,1,1105,396912,0.26
20230915,00639,2,3174,8013378,5.39
20230915,00639,3,1335,10452306,7.04
20230915,00639,4,474,6001926,4.04
20230915,00639,5,403,7375979,4.97
20230915,00639,6,365,9419024,6.34
20230915,00639,7,173,6229441,4.19
20230915,00639,8,109,5011667,3.37
20230915,00639,9,193,13869874,9.34
20230915,00639,10,85,12117580,8.16
20230915,00639,11,27,7575772,5.10
20230915,00639,12,9,4154824,2.79
20230915,00639,13,3,2061930,1.38
20230915,00639,14,2,1794000,1.20
20230915,00639,15,14,53928387,36.33
20230915,00639,16,0,0,0.00
20230915,00639,17,7471,148403000,100.00
20230915,00640L,1,164,23048,0.14
20230915,00640L,2,504,1103045,6.71
