資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20230119,000815,1,0,0,0.00
20230119,000815,2,0,0,0.00
20230119,000815,3,0,0,0.00
20230119,000815,4,0,0,0.00
20230119,000815,5,0,0,0.00
20230119,000815,6,0,0,0.00
20230119,000815,7,0,0,0.00
20230119,000815,8,0,0,0.00
20230119,000815,9,0,0,0.00
20230119,000815,10,0,0,0.00
20230119,000815,11,0,0,0.00
20230119,000815,12,0,0,0.00
20230119,000815,13,0,0,0.00
20230119,000815,14,0,0,0.00
20230119,000815,15,1,692412444,100.00
20230119,000815,16,0,0,0.00
20230119,000815,17,1,692412444,100.00
20230119,0050,1,340976,98724686,4.36
20230119,0050,2,243238,485702230,21.48
20230119,0050,3,29868,219646029,9.71
20230119,0050,4,8587,107515924,4.75
20230119,0050,5,4063,72488497,3.20
20230119,0050,6,3428,85302721,3.77
20230119,0050,7,1374,48296839,2.13
20230119,0050,8,713,32543042,1.43
20230119,0050,9,1066,73421066,3.24
20230119,0050,10,315,42333577,1.87
20230119,0050,11,95,25956542,1.14
20230119,0050,12,40,19986311,0.88
20230119,0050,13,13,9109031,0.40
20230119,0050,14,17,15244059,0.67
20230119,0050,15,72,924229446,40.88
20230119,0050,16,0,0,0.00
20230119,0050,17,633865,2260500000,100.00
20230119,0051,1,2586,656156,4.23
20230119,0051,2,3099,5669615,36.57
20230119,0051,3,263,2010566,12.97
20230119,0051,4,69,858621,5.53
20230119,0051,5,48,889759,5.74
20230119,0051,6,18,451232,2.91
20230119,0051,7,14,481141,3.10
20230119,0051,8,7,314000,2.02
20230119,0051,9,9,592508,3.82
20230119,0051,10,7,955636,6.16
20230119,0051,11,2,617766,3.98
20230119,0051,12,1,531000,3.42
20230119,0051,13,2,1472000,9.49
20230119,0051,14,0,0,0.00
20230119,0051,15,0,0,0.00
20230119,0051,16,0,0,0.00
20230119,0051,17,6125,15500000,100.00
20230119,0052,1,10383,2795582,4.62
20230119,0052,2,8769,15713401,25.97
20230119,0052,3,653,4959121,8.19
20230119,0052,4,127,1595231,2.63
20230119,0052,5,67,1215886,2.00
20230119,0052,6,46,1150264,1.90
20230119,0052,7,15,535384,0.88
20230119,0052,8,3,147000,0.24
20230119,0052,9,15,1018064,1.68
20230119,0052,10,6,860000,1.42
20230119,0052,11,6,1688275,2.79
20230119,0052,12,2,885000,1.46
20230119,0052,13,1,636990,1.05
20230119,0052,14,0,0,0.00
20230119,0052,15,9,27299802,45.12
20230119,0052,16,0,0,0.00
20230119,0052,17,20102,60500000,100.00
20230119,0053,1,422,77230,1.54
20230119,0053,2,708,1351351,27.09
20230119,0053,3,76,646427,12.95
20230119,0053,4,12,157000,3.14
20230119,0053,5,17,325000,6.51
20230119,0053,6,4,112000,2.24
20230119,0053,7,1,40000,0.80
20230119,0053,8,2,100000,2.00
20230119,0053,9,4,265784,5.32
20230119,0053,10,3,405208,8.12
20230119,0053,11,1,308000,6.17
20230119,0053,12,0,0,0.00
20230119,0053,13,0,0,0.00
20230119,0053,14,0,0,0.00
20230119,0053,15,1,1200000,24.05
20230119,0053,16,0,0,0.00
20230119,0053,17,1251,4988000,100.00
20230119,0055,1,3759,1213341,1.60
20230119,0055,2,9379,19199070,25.37
20230119,0055,3,1354,10733796,14.18
20230119,0055,4,361,4657990,6.15
20230119,0055,5,231,4274415,5.64
20230119,0055,6,169,4374346,5.78
20230119,0055,7,71,2611952,3.45
20230119,0055,8,42,1982296,2.62
20230119,0055,9,70,4821067,6.37
20230119,0055,10,20,2618000,3.46
20230119,0055,11,13,3659174,4.83
20230119,0055,12,4,2000000,2.64
20230119,0055,13,1,684553,0.90
20230119,0055,14,1,1000000,1.32
20230119,0055,15,6,11824000,15.62
20230119,0055,16,0,0,0.00
20230119,0055,17,15481,75654000,100.00
20230119,0056,1,138698,48132248,0.70
20230119,0056,2,501498,1147984607,16.75
20230119,0056,3,117133,907286053,13.24
20230119,0056,4,41774,530728230,7.74
20230119,0056,5,24887,453933051,6.62
20230119,0056,6,22059,558954864,8.15
20230119,0056,7,10387,369223634,5.38
20230119,0056,8,6510,300720644,4.38
20230119,0056,9,10454,737241954,10.76
20230119,0056,10,3768,517815673,7.55
20230119,0056,11,1100,299300060,4.36
20230119,0056,12,220,107386806,1.56
20230119,0056,13,82,58110688,0.84
20230119,0056,14,29,26539749,0.38
20230119,0056,15,104,787675739,11.49
20230119,0056,16,0,0,0.00
20230119,0056,17,878703,6851034000,100.00
20230119,0057,1,144,16635,1.08
20230119,0057,2,84,124902,8.17
20230119,0057,3,8,69337,4.54
20230119,0057,4,4,49498,3.24
20230119,0057,5,1,19000,1.24
20230119,0057,6,2,55000,3.60
20230119,0057,7,2,71000,4.64
20230119,0057,8,0,0,0.00
20230119,0057,9,1,70000,4.58
20230119,0057,10,3,336000,22.00
20230119,0057,11,2,715628,46.86
20230119,0057,12,0,0,0.00
20230119,0057,13,0,0,0.00
20230119,0057,14,0,0,0.00
20230119,0057,15,0,0,0.00
20230119,0057,16,0,0,0.00
20230119,0057,17,251,1527000,100.00
20230119,0061,1,555,155177,0.12
20230119,0061,2,4578,10655906,8.25
20230119,0061,3,1109,9323360,7.22
20230119,0061,4,356,4678589,3.62
20230119,0061,5,299,5641907,4.36
20230119,0061,6,279,7321347,5.67
20230119,0061,7,142,5272262,4.08
20230119,0061,8,102,4815419,3.72
20230119,0061,9,194,14268121,11.05
20230119,0061,10,74,10407122,8.06
20230119,0061,11,36,9996418,7.74
20230119,0061,12,15,7212893,5.58
20230119,0061,13,8,5469000,4.23
20230119,0061,14,2,1830000,1.41
20230119,0061,15,8,32068479,24.83
20230119,0061,16,0,0,0.00
20230119,0061,17,7757,129116000,100.00
20230119,006201,1,353,77524,0.36
20230119,006201,2,1293,2767764,12.90
20230119,006201,3,225,1827805,8.52
20230119,006201,4,68,879632,4.10
20230119,006201,5,46,859285,4.00
20230119,006201,6,33,827583,3.85
20230119,006201,7,13,465271,2.16
20230119,006201,8,7,329000,1.53
20230119,006201,9,7,503408,2.34
20230119,006201,10,5,727728,3.39
20230119,006201,11,4,850000,3.96
20230119,006201,12,1,463000,2.15
20230119,006201,13,1,707000,3.29
20230119,006201,14,1,866000,4.03
20230119,006201,15,1,9295000,43.34
20230119,006201,16,0,0,0.00
20230119,006201,17,2058,21446000,100.00
20230119,006203,1,518,107619,0.88
20230119,006203,2,414,693079,5.67
20230119,006203,3,27,209671,1.71
20230119,006203,4,4,55631,0.45
20230119,006203,5,6,108000,0.88
20230119,006203,6,1,25000,0.20
20230119,006203,7,2,68000,0.55
20230119,006203,8,2,91000,0.74
20230119,006203,9,1,74000,0.60
20230119,006203,10,1,124000,1.01
20230119,006203,11,3,941000,7.70
20230119,006203,12,1,500000,4.09
20230119,006203,13,0,0,0.00
20230119,006203,14,0,0,0.00
20230119,006203,15,2,9221000,75.47
20230119,006203,16,0,0,0.00
20230119,006203,17,982,12218000,100.00
20230119,006204,1,938,160518,8.02
20230119,006204,2,384,630644,31.53
20230119,006204,3,17,130666,6.53
20230119,006204,4,1,15000,0.75
20230119,006204,5,2,35234,1.76
20230119,006204,6,1,30000,1.50
20230119,006204,7,0,0,0.00
20230119,006204,8,0,0,0.00
