資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20220729,000815,1,0,0,0.00
20220729,000815,2,0,0,0.00
20220729,000815,3,0,0,0.00
20220729,000815,4,0,0,0.00
20220729,000815,5,0,0,0.00
20220729,000815,6,0,0,0.00
20220729,000815,7,0,0,0.00
20220729,000815,8,0,0,0.00
20220729,000815,9,0,0,0.00
20220729,000815,10,0,0,0.00
20220729,000815,11,0,0,0.00
20220729,000815,12,0,0,0.00
20220729,000815,13,0,0,0.00
20220729,000815,14,0,0,0.00
20220729,000815,15,1,692412444,100.00
20220729,000815,16,0,0,0.00
20220729,000815,17,1,692412444,100.00
20220729,0050,1,320138,86487939,4.13
20220729,0050,2,214132,421601458,20.17
20220729,0050,3,24518,181233339,8.67
20220729,0050,4,7031,88224273,4.22
20220729,0050,5,3295,58997678,2.82
20220729,0050,6,2800,69832675,3.34
20220729,0050,7,1113,39105633,1.87
20220729,0050,8,609,27952119,1.33
20220729,0050,9,914,63244761,3.02
20220729,0050,10,275,37067357,1.77
20220729,0050,11,81,22909899,1.09
20220729,0050,12,36,17449638,0.83
20220729,0050,13,11,8073166,0.38
20220729,0050,14,15,13347001,0.63
20220729,0050,15,73,954473064,45.66
20220729,0050,16,0,0,0.00
20220729,0050,17,575041,2090000000,100.00
20220729,0051,1,2519,611657,4.36
20220729,0051,2,2951,5314666,37.96
20220729,0051,3,231,1764537,12.60
20220729,0051,4,59,735461,5.25
20220729,0051,5,38,712049,5.08
20220729,0051,6,17,439736,3.14
20220729,0051,7,12,403866,2.88
20220729,0051,8,6,269000,1.92
20220729,0051,9,12,831075,5.93
20220729,0051,10,6,710317,5.07
20220729,0051,11,1,294636,2.10
20220729,0051,12,1,492000,3.51
20220729,0051,13,2,1421000,10.15
20220729,0051,14,0,0,0.00
20220729,0051,15,0,0,0.00
20220729,0051,16,0,0,0.00
20220729,0051,17,5855,14000000,100.00
20220729,0052,1,10819,2812798,5.25
20220729,0052,2,8848,15730680,29.40
20220729,0052,3,624,4750551,8.87
20220729,0052,4,150,1891288,3.53
20220729,0052,5,71,1279683,2.39
20220729,0052,6,55,1394951,2.60
20220729,0052,7,12,427152,0.79
20220729,0052,8,7,307494,0.57
20220729,0052,9,18,1185695,2.21
20220729,0052,10,3,443000,0.82
20220729,0052,11,4,1117000,2.08
20220729,0052,12,5,2230000,4.16
20220729,0052,13,2,1356542,2.53
20220729,0052,14,2,1926000,3.60
20220729,0052,15,7,16647166,31.11
20220729,0052,16,0,0,0.00
20220729,0052,17,20627,53500000,100.00
20220729,0053,1,407,71504,1.43
20220729,0053,2,718,1364542,27.35
20220729,0053,3,76,650482,13.04
20220729,0053,4,12,159000,3.18
20220729,0053,5,17,325000,6.51
20220729,0053,6,4,112000,2.24
20220729,0053,7,1,40000,0.80
20220729,0053,8,2,100000,2.00
20220729,0053,9,2,115000,2.30
20220729,0053,10,3,365208,7.32
20220729,0053,11,2,496264,9.94
20220729,0053,12,0,0,0.00
20220729,0053,13,0,0,0.00
20220729,0053,14,0,0,0.00
20220729,0053,15,1,1189000,23.83
20220729,0053,16,0,0,0.00
20220729,0053,17,1245,4988000,100.00
20220729,0055,1,3942,1234183,1.59
20220729,0055,2,9295,18837572,24.41
20220729,0055,3,1319,10561679,13.68
20220729,0055,4,359,4672840,6.05
20220729,0055,5,239,4464484,5.78
20220729,0055,6,153,3995903,5.17
20220729,0055,7,86,3179389,4.12
20220729,0055,8,46,2215056,2.87
20220729,0055,9,69,4934523,6.39
20220729,0055,10,18,2458260,3.18
20220729,0055,11,14,3776111,4.89
20220729,0055,12,7,3414000,4.42
20220729,0055,13,1,713000,0.92
20220729,0055,14,0,0,0.00
20220729,0055,15,6,12697000,16.45
20220729,0055,16,0,0,0.00
20220729,0055,17,15554,77154000,100.00
20220729,0056,1,132559,47263572,0.99
20220729,0056,2,413969,916013250,19.20
20220729,0056,3,83881,648517580,13.59
20220729,0056,4,29181,370300463,7.76
20220729,0056,5,16781,305874908,6.41
20220729,0056,6,14648,371567514,7.78
20220729,0056,7,6811,241613258,5.06
20220729,0056,8,4193,193234310,4.05
20220729,0056,9,6764,476172225,9.98
20220729,0056,10,2405,329737586,6.91
20220729,0056,11,728,198678329,4.16
20220729,0056,12,141,69306198,1.45
20220729,0056,13,52,35663034,0.74
20220729,0056,14,25,22368694,0.46
20220729,0056,15,81,543723079,11.39
20220729,0056,16,0,0,0.00
20220729,0056,17,712219,4770034000,100.00
20220729,0057,1,142,16489,1.07
20220729,0057,2,85,127782,8.36
20220729,0057,3,7,56915,3.72
20220729,0057,4,3,38000,2.48
20220729,0057,5,0,0,0.00
