資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20240119,000218,1,0,0,0.00
20240119,000218,2,0,0,0.00
20240119,000218,3,0,0,0.00
20240119,000218,4,0,0,0.00
20240119,000218,5,0,0,0.00
20240119,000218,6,0,0,0.00
20240119,000218,7,0,0,0.00
20240119,000218,8,0,0,0.00
20240119,000218,9,0,0,0.00
20240119,000218,10,0,0,0.00
20240119,000218,11,0,0,0.00
20240119,000218,12,0,0,0.00
20240119,000218,13,0,0,0.00
20240119,000218,14,0,0,0.00
20240119,000218,15,1,422278902,100.00
20240119,000218,16,0,0,0.00
20240119,000218,17,1,422278902,100.00
20240119,000815,1,0,0,0.00
20240119,000815,2,0,0,0.00
20240119,000815,3,0,0,0.00
20240119,000815,4,0,0,0.00
20240119,000815,5,0,0,0.00
20240119,000815,6,0,0,0.00
20240119,000815,7,0,0,0.00
20240119,000815,8,0,0,0.00
20240119,000815,9,0,0,0.00
20240119,000815,10,0,0,0.00
20240119,000815,11,0,0,0.00
20240119,000815,12,0,0,0.00
20240119,000815,13,0,0,0.00
20240119,000815,14,0,0,0.00
20240119,000815,15,1,692412444,100.00
20240119,000815,16,0,0,0.00
20240119,000815,17,1,692412444,100.00
20240119,0050,1,367359,106172738,4.81
20240119,0050,2,254588,513914769,23.32
20240119,0050,3,32844,239493646,10.87
20240119,0050,4,9354,116515035,5.28
20240119,0050,5,4417,78386483,3.55
20240119,0050,6,3737,92644675,4.20
20240119,0050,7,1593,55787537,2.53
20240119,0050,8,743,33656629,1.52
20240119,0050,9,1193,81813073,3.71
20240119,0050,10,359,47061464,2.13
20240119,0050,11,102,28345093,1.28
20240119,0050,12,32,15933870,0.72
20240119,0050,13,13,9170576,0.41
20240119,0050,14,13,12066545,0.54
20240119,0050,15,75,772037867,35.04
20240119,0050,16,0,0,0.00
20240119,0050,17,676422,2203000000,100.00
20240119,0051,1,3468,828912,4.73
20240119,0051,2,3463,6547104,37.41
20240119,0051,3,322,2449391,13.99
20240119,0051,4,100,1269347,7.25
20240119,0051,5,50,915837,5.23
20240119,0051,6,28,719668,4.11
20240119,0051,7,14,478793,2.73
20240119,0051,8,7,315080,1.80
20240119,0051,9,12,831358,4.75
20240119,0051,10,3,366000,2.09
20240119,0051,11,1,201000,1.14
20240119,0051,12,2,1010510,5.77
20240119,0051,13,2,1567000,8.95
20240119,0051,14,0,0,0.00
20240119,0051,15,0,0,0.00
20240119,0051,16,0,0,0.00
20240119,0051,17,7472,17500000,100.00
20240119,0052,1,8914,2403878,5.93
20240119,0052,2,5977,11147144,27.52
20240119,0052,3,516,3865661,9.54
20240119,0052,4,107,1336844,3.30
20240119,0052,5,50,906009,2.23
20240119,0052,6,33,812836,2.00
20240119,0052,7,12,443526,1.09
20240119,0052,8,5,218000,0.53
20240119,0052,9,15,1070217,2.64
20240119,0052,10,4,587979,1.45
20240119,0052,11,8,2195386,5.42
20240119,0052,12,3,1398000,3.45
20240119,0052,13,1,764325,1.88
20240119,0052,14,1,810000,2.00
20240119,0052,15,6,12540195,30.96
20240119,0052,16,0,0,0.00
20240119,0052,17,15652,40500000,100.00
