資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20230630,000815,1,0,0,0.00
20230630,000815,2,0,0,0.00
20230630,000815,3,0,0,0.00
20230630,000815,4,0,0,0.00
20230630,000815,5,0,0,0.00
20230630,000815,6,0,0,0.00
20230630,000815,7,0,0,0.00
20230630,000815,8,0,0,0.00
20230630,000815,9,0,0,0.00
20230630,000815,10,0,0,0.00
20230630,000815,11,0,0,0.00
20230630,000815,12,0,0,0.00
20230630,000815,13,0,0,0.00
20230630,000815,14,0,0,0.00
20230630,000815,15,1,692412444,100.00
20230630,000815,16,0,0,0.00
20230630,000815,17,1,692412444,100.00
20230630,0050,1,353903,101292758,3.83
20230630,0050,2,241238,482718914,18.27
20230630,0050,3,29613,216722704,8.20
20230630,0050,4,8448,105706333,4.00
20230630,0050,5,3953,70389038,2.66
20230630,0050,6,3345,82970148,3.14
20230630,0050,7,1365,47702685,1.80
20230630,0050,8,705,32203723,1.21
20230630,0050,9,1040,71709794,2.71
20230630,0050,10,321,42529636,1.61
20230630,0050,11,107,29722639,1.12
20230630,0050,12,30,14831599,0.56
20230630,0050,13,11,7576900,0.28
20230630,0050,14,14,12845500,0.48
20230630,0050,15,81,1322577629,50.06
20230630,0050,16,0,0,0.00
20230630,0050,17,644174,2641500000,100.00
20230630,0051,1,2626,631935,3.94
20230630,0051,2,3007,5545794,34.66
20230630,0051,3,248,1901461,11.88
20230630,0051,4,77,961910,6.01
20230630,0051,5,42,791807,4.94
20230630,0051,6,23,584640,3.65
20230630,0051,7,13,443550,2.77
20230630,0051,8,7,312417,1.95
20230630,0051,9,11,738594,4.61
20230630,0051,10,7,922636,5.76
20230630,0051,11,3,1120256,7.00
20230630,0051,12,1,520000,3.25
20230630,0051,13,2,1525000,9.53
20230630,0051,14,0,0,0.00
20230630,0051,15,0,0,0.00
20230630,0051,16,0,0,0.00
20230630,0051,17,6067,16000000,100.00
20230630,0052,1,10094,2637547,5.73
20230630,0052,2,7571,13779989,29.95
20230630,0052,3,572,4311278,9.37
20230630,0052,4,119,1488771,3.23
20230630,0052,5,50,899943,1.95
20230630,0052,6,48,1211709,2.63
20230630,0052,7,11,397459,0.86
20230630,0052,8,6,269000,0.58
20230630,0052,9,10,749217,1.62
20230630,0052,10,4,531000,1.15
20230630,0052,11,6,1638406,3.56
20230630,0052,12,3,1416000,3.07
20230630,0052,13,1,733000,1.59
20230630,0052,14,3,2760269,6.00
20230630,0052,15,6,13176412,28.64
20230630,0052,16,0,0,0.00
20230630,0052,17,18504,46000000,100.00
20230630,0053,1,405,65860,1.32
20230630,0053,2,677,1301896,26.10
20230630,0053,3,75,628069,12.59
20230630,0053,4,13,170000,3.40
20230630,0053,5,15,289000,5.79
20230630,0053,6,3,82000,1.64
20230630,0053,7,1,40000,0.80
20230630,0053,8,3,145000,2.90
20230630,0053,9,3,203000,4.06
20230630,0053,10,4,589175,11.81
20230630,0053,11,1,324000,6.49
20230630,0053,12,0,0,0.00
20230630,0053,13,0,0,0.00
20230630,0053,14,0,0,0.00
20230630,0053,15,1,1150000,23.05
20230630,0053,16,0,0,0.00
20230630,0053,17,1201,4988000,100.00
20230630,0055,1,3517,1140799,1.52
20230630,0055,2,8997,18608604,24.92
20230630,0055,3,1351,10614064,14.21
20230630,0055,4,378,4845490,6.49
20230630,0055,5,236,4324993,5.79
20230630,0055,6,160,4148400,5.55
20230630,0055,7,79,2885673,3.86
20230630,0055,8,47,2238377,2.99
20230630,0055,9,68,4796404,6.42
20230630,0055,10,21,2772868,3.71
20230630,0055,11,12,3523550,4.71
20230630,0055,12,4,2000000,2.67
20230630,0055,13,1,669838,0.89
20230630,0055,14,0,0,0.00
20230630,0055,15,7,12084940,16.18
20230630,0055,16,0,0,0.00
20230630,0055,17,14878,74654000,100.00
20230630,0056,1,169945,55893479,0.83
20230630,0056,2,502170,1145295975,17.17
20230630,0056,3,117201,904934374,13.56
20230630,0056,4,41346,524260397,7.86
20230630,0056,5,24607,448057781,6.71
20230630,0056,6,21711,549822274,8.24
20230630,0056,7,10428,370847159,5.56
20230630,0056,8,6433,297377601,4.45
20230630,0056,9,10270,724139121,10.85
20230630,0056,10,3574,489908915,7.34
20230630,0056,11,1054,284374381,4.26
20230630,0056,12,217,105468056,1.58
20230630,0056,13,75,53799081,0.80
20230630,0056,14,31,28383496,0.42
20230630,0056,15,92,686971910,10.30
20230630,0056,16,0,0,0.00
20230630,0056,17,909154,6669534000,100.00
20230630,0057,1,136,15796,1.03
20230630,0057,2,81,127193,8.32
20230630,0057,3,10,81645,5.34
20230630,0057,4,4,52000,3.40
20230630,0057,5,0,0,0.00
20230630,0057,6,1,30000,1.96
20230630,0057,7,1,32000,2.09
20230630,0057,8,0,0,0.00
20230630,0057,9,3,240000,15.71
20230630,0057,10,2,269000,17.61
20230630,0057,11,2,679366,44.49
20230630,0057,12,0,0,0.00
20230630,0057,13,0,0,0.00
20230630,0057,14,0,0,0.00
20230630,0057,15,0,0,0.00
20230630,0057,16,0,0,0.00
20230630,0057,17,240,1527000,100.00
20230630,0061,1,531,143208,0.10
20230630,0061,2,4529,10576482,8.06
20230630,0061,3,1121,9362960,7.14
20230630,0061,4,367,4777366,3.64
20230630,0061,5,312,5880832,4.48
20230630,0061,6,290,7604405,5.79
20230630,0061,7,138,5109386,3.89
20230630,0061,8,110,5226887,3.98
20230630,0061,9,201,14913138,11.37
20230630,0061,10,80,11100028,8.46
20230630,0061,11,39,10863893,8.28
20230630,0061,12,13,6304000,4.80
20230630,0061,13,8,5509000,4.20
20230630,0061,14,2,1830000,1.39
20230630,0061,15,8,31914415,24.34
20230630,0061,16,0,0,0.00
20230630,0061,17,7749,131116000,100.00
20230630,006201,1,355,73060,0.40
20230630,006201,2,1175,2504348,13.95
20230630,006201,3,197,1597984,8.90
20230630,006201,4,56,725384,4.04
20230630,006201,5,36,660488,3.68
20230630,006201,6,27,686287,3.82
20230630,006201,7,11,393271,2.19
20230630,006201,8,7,333000,1.85
20230630,006201,9,7,534000,2.97
20230630,006201,10,4,599178,3.33
20230630,006201,11,3,871000,4.85
20230630,006201,12,0,0,0.00
20230630,006201,13,1,790000,4.40
20230630,006201,14,1,853000,4.75
20230630,006201,15,1,7325000,40.81
20230630,006201,16,0,0,0.00
20230630,006201,17,1881,17946000,100.00
20230630,006203,1,471,99745,0.81
20230630,006203,2,386,679022,5.55
20230630,006203,3,26,193555,1.58
20230630,006203,4,5,61000,0.49
20230630,006203,5,6,106678,0.87
20230630,006203,6,2,50000,0.40
20230630,006203,7,3,107000,0.87
20230630,006203,8,0,0,0.00
20230630,006203,9,1,62000,0.50
20230630,006203,10,2,214000,1.75
20230630,006203,11,2,670000,5.48
20230630,006203,12,1,500000,4.09
20230630,006203,13,0,0,0.00
20230630,006203,14,0,0,0.00
20230630,006203,15,2,9475000,77.54
20230630,006203,16,0,0,0.00
20230630,006203,17,907,12218000,100.00
20230630,006204,1,860,143813,7.19
20230630,006204,2,345,564397,28.21
20230630,006204,3,18,140356,7.01
20230630,006204,4,1,15000,0.75
20230630,006204,5,1,20000,1.00
20230630,006204,6,1,30000,1.50
20230630,006204,7,0,0,0.00
20230630,006204,8,0,0,0.00
20230630,006204,9,1,70000,3.50
20230630,006204,10,3,478000,23.90
20230630,006204,11,2,538434,26.92
20230630,006204,12,0,0,0.00
20230630,006204,13,0,0,0.00
20230630,006204,14,0,0,0.00
20230630,006204,15,0,0,0.00
20230630,006204,16,0,0,0.00
20230630,006204,17,1232,2000000,100.00
20230630,006205,1,4002,1486703,0.78
20230630,006205,2,7191,16624095,8.80
20230630,006205,3,1691,12591167,6.66
20230630,006205,4,535,6684814,3.53
20230630,006205,5,339,6147819,3.25
20230630,006205,6,286,7341623,3.88
20230630,006205,7,141,5035059,2.66
20230630,006205,8,68,3193640,1.69
20230630,006205,9,153,11402927,6.03
20230630,006205,10,58,8184190,4.33
20230630,006205,11,17,5039075,2.66
20230630,006205,12,6,2923000,1.54
20230630,006205,13,5,3486224,1.84
20230630,006205,14,1,884000,0.46
20230630,006205,15,21,97884664,51.81
20230630,006205,16,0,0,0.00
20230630,006205,17,14514,188909000,100.00
20230630,006206,1,924,293751,0.54
20230630,006206,2,2458,5726784,10.64
20230630,006206,3,583,4569384,8.49
20230630,006206,4,206,2624124,4.87
20230630,006206,5,125,2303879,4.28
20230630,006206,6,121,3121431,5.80
20230630,006206,7,53,1940938,3.60
20230630,006206,8,36,1698674,3.15
20230630,006206,9,64,4789945,8.90
20230630,006206,10,24,3479280,6.46
20230630,006206,11,6,1983000,3.68
20230630,006206,12,2,1093000,2.03
20230630,006206,13,1,768810,1.42
20230630,006206,14,0,0,0.00
20230630,006206,15,2,19385000,36.04
20230630,006206,16,0,0,0.00
20230630,006206,17,4605,53778000,100.00
20230630,006207,1,171,40437,0.12
20230630,006207,2,1086,2540436,7.60
20230630,006207,3,283,2310944,6.92
20230630,006207,4,92,1163756,3.48
20230630,006207,5,97,1811872,5.42
20230630,006207,6,68,1780692,5.33
20230630,006207,7,35,1246000,3.73
20230630,006207,8,29,1352558,4.05
20230630,006207,9,60,4505002,13.49
20230630,006207,10,29,4231000,12.67
20230630,006207,11,17,5111364,15.30
20230630,006207,12,4,2145000,6.42
20230630,006207,13,0,0,0.00
20230630,006207,14,0,0,0.00
20230630,006207,15,4,5152939,15.43
20230630,006207,16,0,0,0.00
20230630,006207,17,1975,33392000,100.00
20230630,006208,1,122236,40263007,5.53
20230630,006208,2,113501,239430150,32.90
20230630,006208,3,18012,130019130,17.87
20230630,006208,4,5854,72410636,9.95
20230630,006208,5,2514,44052451,6.05
20230630,006208,6,2069,50703980,6.96
20230630,006208,7,795,27638696,3.79
20230630,006208,8,388,17515174,2.40
20230630,006208,9,530,35574120,4.88
20230630,006208,10,126,16603296,2.28
20230630,006208,11,29,7941390,1.09
20230630,006208,12,6,2961226,0.40
20230630,006208,13,3,2139915,0.29
20230630,006208,14,1,900000,0.12
20230630,006208,15,16,39386829,5.41
20230630,006208,16,0,0,0.00
20230630,006208,17,266080,727540000,100.00
20230630,00625K,1,0,0,0.00
20230630,00625K,2,5,12000,3.30
20230630,00625K,3,1,10000,2.75
20230630,00625K,4,1,12000,3.30
20230630,00625K,5,3,53000,14.60
20230630,00625K,6,1,23000,6.33
20230630,00625K,7,1,40000,11.01
20230630,00625K,8,0,0,0.00
20230630,00625K,9,3,213000,58.67
20230630,00625K,10,0,0,0.00
20230630,00625K,11,0,0,0.00
20230630,00625K,12,0,0,0.00
20230630,00625K,13,0,0,0.00
20230630,00625K,14,0,0,0.00
20230630,00625K,15,0,0,0.00
20230630,00625K,16,0,0,0.00
20230630,00625K,17,15,363000,100.00
20230630,00631L,1,5069,1193712,2.07
20230630,00631L,2,4647,10124217,17.58
20230630,00631L,3,877,6603197,11.46
20230630,00631L,4,310,3890740,6.75
20230630,00631L,5,187,3338889,5.79
20230630,00631L,6,171,4268293,7.41
20230630,00631L,7,86,3002219,5.21
20230630,00631L,8,44,2008226,3.48
20230630,00631L,9,98,7165835,12.44
20230630,00631L,10,25,3387817,5.88
20230630,00631L,11,13,3718755,6.45
20230630,00631L,12,3,1379000,2.39
20230630,00631L,13,4,2711000,4.70
20230630,00631L,14,1,850000,1.47
20230630,00631L,15,3,3942100,6.84
20230630,00631L,16,0,0,0.00
20230630,00631L,17,11538,57584000,100.00
20230630,00632R,1,569,131971,0.00
20230630,00632R,2,14529,40942758,0.46
20230630,00632R,3,8789,75567616,0.85
20230630,00632R,4,3959,52717228,0.59
20230630,00632R,5,4661,88601340,1.00
20230630,00632R,6,4966,131958568,1.49
20230630,00632R,7,3314,122670592,1.38
20230630,00632R,8,2857,136156057,1.54
20230630,00632R,9,7508,572345724,6.47
20230630,00632R,10,5186,775619562,8.77
20230630,00632R,11,3452,1009801121,11.43
20230630,00632R,12,1229,620949609,7.02
20230630,00632R,13,568,402646005,4.55
20230630,00632R,14,369,336839000,3.81
20230630,00632R,15,1034,4467201849,50.56
20230630,00632R,16,0,0,0.00
20230630,00632R,17,62990,8834149000,100.00
20230630,00633L,1,191,35386,0.01
20230630,00633L,2,3434,8791209,2.86
20230630,00633L,3,1352,11053294,3.60
20230630,00633L,4,618,8085995,2.63
20230630,00633L,5,542,10048468,3.27
20230630,00633L,6,536,13948658,4.55
20230630,00633L,7,330,11964456,3.90
20230630,00633L,8,240,11183627,3.64
20230630,00633L,9,511,37841364,12.34
20230630,00633L,10,231,32167000,10.49
20230630,00633L,11,111,31456000,10.26
20230630,00633L,12,37,18516000,6.04
20230630,00633L,13,17,12516000,4.08
20230630,00633L,14,10,9338000,3.04
20230630,00633L,15,32,89512543,29.20
20230630,00633L,16,0,0,0.00
20230630,00633L,17,8192,306458000,100.00
20230630,00634R,1,40,3442,0.00
20230630,00634R,2,475,1219945,1.86
20230630,00634R,3,173,1481000,2.26
20230630,00634R,4,68,894001,1.36
20230630,00634R,5,58,1091000,1.67
20230630,00634R,6,86,2328000,3.56
20230630,00634R,7,59,2120807,3.24
20230630,00634R,8,41,1938000,2.96
20230630,00634R,9,67,4742000,7.26
20230630,00634R,10,39,5597000,8.57
20230630,00634R,11,31,8774762,13.44
20230630,00634R,12,7,3403000,5.21
20230630,00634R,13,3,2079000,3.18
20230630,00634R,14,3,2767000,4.24
20230630,00634R,15,11,26817043,41.09
20230630,00634R,16,0,0,0.00
20230630,00634R,17,1161,65256000,100.00
20230630,00635U,1,1051,240842,0.57
20230630,00635U,2,3177,6566875,15.63
20230630,00635U,3,480,3820586,9.09
20230630,00635U,4,186,2433120,5.79
20230630,00635U,5,114,2125877,5.05
20230630,00635U,6,87,2189333,5.21
20230630,00635U,7,45,1676826,3.99
20230630,00635U,8,36,1719488,4.09
20230630,00635U,9,58,4081983,9.71
20230630,00635U,10,22,3100000,7.37
20230630,00635U,11,11,3279068,7.80
20230630,00635U,12,3,1691002,4.02
20230630,00635U,13,2,1431000,3.40
