資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20230210,000815,1,0,0,0.00
20230210,000815,2,0,0,0.00
20230210,000815,3,0,0,0.00
20230210,000815,4,0,0,0.00
20230210,000815,5,0,0,0.00
20230210,000815,6,0,0,0.00
20230210,000815,7,0,0,0.00
20230210,000815,8,0,0,0.00
20230210,000815,9,0,0,0.00
20230210,000815,10,0,0,0.00
20230210,000815,11,0,0,0.00
20230210,000815,12,0,0,0.00
20230210,000815,13,0,0,0.00
20230210,000815,14,0,0,0.00
20230210,000815,15,1,692412444,100.00
20230210,000815,16,0,0,0.00
20230210,000815,17,1,692412444,100.00
20230210,0050,1,343148,99007904,4.36
20230210,0050,2,240483,479843685,21.17
20230210,0050,3,29292,215051342,9.49
20230210,0050,4,8414,105251235,4.64
20230210,0050,5,3954,70493234,3.11
20230210,0050,6,3383,84039469,3.70
20230210,0050,7,1376,48309048,2.13
20230210,0050,8,682,31139664,1.37
20230210,0050,9,1047,72239215,3.18
20230210,0050,10,316,42393918,1.87
20230210,0050,11,91,25170207,1.11
20230210,0050,12,39,19562604,0.86
20230210,0050,13,11,7700456,0.33
20230210,0050,14,13,11621769,0.51
20230210,0050,15,76,954176250,42.10
20230210,0050,16,0,0,0.00
20230210,0050,17,632325,2266000000,100.00
20230210,0051,1,2568,651160,4.20
20230210,0051,2,3101,5683787,36.66
20230210,0051,3,261,2007052,12.94
20230210,0051,4,66,815405,5.26
20230210,0051,5,48,887343,5.72
20230210,0051,6,18,452011,2.91
20230210,0051,7,14,478141,3.08
20230210,0051,8,7,320954,2.07
20230210,0051,9,11,734636,4.73
20230210,0051,10,6,827000,5.33
20230210,0051,11,2,639511,4.12
20230210,0051,12,1,532000,3.43
20230210,0051,13,2,1471000,9.49
20230210,0051,14,0,0,0.00
20230210,0051,15,0,0,0.00
20230210,0051,16,0,0,0.00
20230210,0051,17,6105,15500000,100.00
20230210,0052,1,10303,2748720,4.54
20230210,0052,2,8455,15153149,25.04
20230210,0052,3,628,4781237,7.90
20230210,0052,4,121,1514784,2.50
20230210,0052,5,64,1165951,1.92
20230210,0052,6,50,1236043,2.04
20230210,0052,7,12,439126,0.72
20230210,0052,8,3,145000,0.23
20230210,0052,9,15,1093064,1.80
20230210,0052,10,3,428000,0.70
20230210,0052,11,4,1017000,1.68
20230210,0052,12,4,1919477,3.17
20230210,0052,13,2,1369990,2.26
20230210,0052,14,1,960000,1.58
20230210,0052,15,8,26528459,43.84
20230210,0052,16,0,0,0.00
20230210,0052,17,19673,60500000,100.00
20230210,0053,1,413,74686,1.49
20230210,0053,2,707,1348863,27.04
20230210,0053,3,76,645563,12.94
20230210,0053,4,12,157000,3.14
20230210,0053,5,16,305000,6.11
20230210,0053,6,4,112000,2.24
20230210,0053,7,1,40000,0.80
20230210,0053,8,2,100000,2.00
20230210,0053,9,4,256680,5.14
20230210,0053,10,3,414208,8.30
20230210,0053,11,1,329000,6.59
20230210,0053,12,0,0,0.00
20230210,0053,13,0,0,0.00
20230210,0053,14,0,0,0.00
20230210,0053,15,1,1205000,24.15
20230210,0053,16,0,0,0.00
20230210,0053,17,1240,4988000,100.00
20230210,0055,1,3737,1205954,1.59
20230210,0055,2,9397,19273242,25.47
20230210,0055,3,1369,10814398,14.29
20230210,0055,4,361,4636487,6.12
20230210,0055,5,232,4296922,5.67
20230210,0055,6,170,4403086,5.82
20230210,0055,7,71,2609959,3.44
20230210,0055,8,44,2074934,2.74
20230210,0055,9,69,4813456,6.36
20230210,0055,10,21,2761000,3.64
20230210,0055,11,14,3891238,5.14
20230210,0055,12,6,3075324,4.06
20230210,0055,13,0,0,0.00
20230210,0055,14,0,0,0.00
20230210,0055,15,6,11798000,15.59
20230210,0055,16,0,0,0.00
20230210,0055,17,15497,75654000,100.00
20230210,0056,1,140710,48514471,0.70
20230210,0056,2,501832,1148998555,16.78
20230210,0056,3,117481,909386925,13.28
20230210,0056,4,41902,532272135,7.77
20230210,0056,5,24952,454957158,6.64
20230210,0056,6,22074,559129223,8.17
20230210,0056,7,10416,370344622,5.41
20230210,0056,8,6554,302667357,4.42
20230210,0056,9,10471,739084244,10.79
20230210,0056,10,3753,516676225,7.54
20230210,0056,11,1119,303087396,4.42
20230210,0056,12,220,108197261,1.58
20230210,0056,13,75,53035875,0.77
20230210,0056,14,30,27332013,0.39
20230210,0056,15,102,769850540,11.24
20230210,0056,16,0,0,0.00
20230210,0056,17,881691,6843534000,100.00
20230210,0057,1,141,16418,1.07
20230210,0057,2,82,124594,8.15
20230210,0057,3,8,69337,4.54
20230210,0057,4,4,50642,3.31
20230210,0057,5,1,19000,1.24
20230210,0057,6,2,55000,3.60
20230210,0057,7,2,71000,4.64
20230210,0057,8,0,0,0.00
20230210,0057,9,2,170000,11.13
20230210,0057,10,2,238000,15.58
20230210,0057,11,2,713009,46.69
20230210,0057,12,0,0,0.00
20230210,0057,13,0,0,0.00
20230210,0057,14,0,0,0.00
20230210,0057,15,0,0,0.00
20230210,0057,16,0,0,0.00
20230210,0057,17,246,1527000,100.00
20230210,0061,1,554,151915,0.11
20230210,0061,2,4584,10673273,8.26
20230210,0061,3,1120,9400921,7.28
20230210,0061,4,356,4666856,3.61
20230210,0061,5,294,5543847,4.29
20230210,0061,6,283,7414106,5.74
20230210,0061,7,141,5207523,4.03
20230210,0061,8,106,4987665,3.86
20230210,0061,9,194,14292028,11.06
20230210,0061,10,75,10487896,8.12
20230210,0061,11,37,10315418,7.98
20230210,0061,12,14,6792893,5.26
20230210,0061,13,8,5469000,4.23
20230210,0061,14,2,1830000,1.41
20230210,0061,15,8,31882659,24.69
20230210,0061,16,0,0,0.00
20230210,0061,17,7776,129116000,100.00
20230210,006201,1,351,78433,0.35
20230210,006201,2,1264,2669057,12.16
20230210,006201,3,216,1757504,8.00
20230210,006201,4,67,857632,3.90
20230210,006201,5,43,790085,3.60
20230210,006201,6,32,798140,3.63
20230210,006201,7,12,430271,1.96
20230210,006201,8,9,430000,1.95
20230210,006201,9,6,445000,2.02
20230210,006201,10,5,696728,3.17
20230210,006201,11,4,1042150,4.74
20230210,006201,12,1,452000,2.05
20230210,006201,13,1,713000,3.24
20230210,006201,14,1,868000,3.95
20230210,006201,15,1,9918000,45.19
20230210,006201,16,0,0,0.00
20230210,006201,17,2013,21946000,100.00
20230210,006203,1,517,109630,0.89
20230210,006203,2,412,696479,5.70
20230210,006203,3,23,178089,1.45
20230210,006203,4,6,77802,0.63
20230210,006203,5,5,91000,0.74
20230210,006203,6,2,49000,0.40
20230210,006203,7,2,68000,0.55
20230210,006203,8,1,50000,0.40
20230210,006203,9,1,75000,0.61
20230210,006203,10,0,0,0.00
20230210,006203,11,3,893000,7.30
20230210,006203,12,1,500000,4.09
20230210,006203,13,0,0,0.00
20230210,006203,14,0,0,0.00
20230210,006203,15,3,9430000,77.18
20230210,006203,16,0,0,0.00
20230210,006203,17,976,12218000,100.00
20230210,006204,1,932,159258,7.96
20230210,006204,2,380,627439,31.37
20230210,006204,3,14,112798,5.63
20230210,006204,4,1,15000,0.75
20230210,006204,5,2,36517,1.82
20230210,006204,6,1,30000,1.50
20230210,006204,7,1,40000,2.00
20230210,006204,8,0,0,0.00
20230210,006204,9,1,70000,3.50
20230210,006204,10,2,394000,19.70
20230210,006204,11,2,514988,25.74
